anyseed,baseline,district,id_village_grp,slope,flat,random,gossip,trusted,trustgossip,created_year,created_month,nchildren
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,2,2
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,3,26
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,4,17
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,5,26
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,6,18
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,7,23
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,8,19
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,9,30
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,10,12
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,11,16
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2017,12,29
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2018,1,14
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2018,2,33
1,1,Bhiwani,1_02_02_V02Y_1,TRUE,FALSE,1,0,0,0,2018,3,29
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,2,6
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,3,25
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,4,26
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,5,16
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,6,22
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,7,15
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,8,13
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,9,14
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,10,21
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,11,24
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2017,12,16
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2018,1,24
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2018,2,27
1,1,Bhiwani,1_02_03_V02Y_1,TRUE,FALSE,1,0,0,0,2018,3,21
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,3,6
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,4,8
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,5,5
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,6,5
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,7,3
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,8,3
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,9,5
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,10,1
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2017,11,2
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2018,2,10
1,1,Bhiwani,1_02_05_V02Y_0,TRUE,FALSE,0,1,0,0,2018,3,8
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,3,6
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,4,9
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,5,5
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,6,8
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,7,14
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,8,6
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,9,11
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,10,7
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,11,10
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2017,12,9
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2018,1,9
1,1,Bhiwani,1_03_02_V02Y_0,TRUE,FALSE,1,0,0,0,2018,2,12
